DATE,lat,long,easting,northing,FloodProb
2019-04-27,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
2019-04-27,52.41789637,-1.715642305,419436.5601,280027.0852,Zero
2019-04-27,53.38891206,-0.406219357,506092.2173,389191.1244,Zero
2019-05-03,53.38891206,-0.406219357,506092.2173,389191.1244,Zero
2019-05-03,53.38891206,-0.406219357,506092.2173,389191.1244,Zero
2019-05-03,53.38891206,-0.406219357,506092.2173,389191.1244,Zero
2019-05-03,52.94860637,-1.431379413,438303.8095,339175.9799,Zero
2019-05-03,52.94860637,-1.431379413,438303.8095,339175.9799,Zero
2019-05-03,52.94860637,-1.431379413,438303.8095,339175.9799,Zero
2019-05-03,52.94860637,-1.431379413,438303.8095,339175.9799,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-03,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-04,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-04,53.61434382,-2.21662158,385766.7099,413110.1871,Zero
2019-05-04,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-05-04,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-05-04,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-05-09,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-02,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
2019-06-03,52.45770504,-1.76018901,416392.2064,284444.1991,Zero
